Kategori: Semua kategori

Hari,bitcoin price: (Seluruh dunia)
2023-12-01,30
2023-12-02,29
2023-12-03,31
2023-12-04,57
2023-12-05,55
2023-12-06,51
2023-12-07,42
2023-12-08,42
2023-12-09,37
2023-12-10,33
2023-12-11,43
2023-12-12,36
2023-12-13,34
2023-12-14,36
2023-12-15,33
2023-12-16,29
2023-12-17,27
2023-12-18,32
2023-12-19,33
2023-12-20,34
2023-12-21,34
2023-12-22,35
2023-12-23,29
2023-12-24,29
2023-12-25,28
2023-12-26,33
2023-12-27,32
2023-12-28,32
2023-12-29,31
2023-12-30,26
2023-12-31,27
2024-01-01,32
2024-01-02,48
2024-01-03,46
2024-01-04,43
2024-01-05,38
2024-01-06,31
2024-01-07,30
2024-01-08,43
2024-01-09,51
2024-01-10,62
2024-01-11,82
2024-01-12,58
2024-01-13,44
2024-01-14,36
2024-01-15,38
2024-01-16,37
2024-01-17,35
2024-01-18,33
2024-01-19,35
2024-01-20,27
2024-01-21,26
2024-01-22,32
2024-01-23,37
2024-01-24,32
2024-01-25,30
2024-01-26,28
2024-01-27,22
2024-01-28,23
2024-01-29,27
2024-01-30,29
2024-01-31,26
2024-02-01,23
2024-02-02,24
2024-02-03,19
2024-02-04,19
2024-02-05,23
2024-02-06,22
2024-02-07,22
2024-02-08,29
2024-02-09,37
2024-02-10,29
2024-02-11,31
2024-02-12,44
2024-02-13,49
2024-02-14,48
2024-02-15,50
2024-02-16,42
2024-02-17,33
2024-02-18,32
2024-02-19,36
2024-02-20,37
2024-02-21,33
2024-02-22,34
2024-02-23,30
2024-02-24,26
2024-02-25,26
2024-02-26,39
2024-02-27,62
2024-02-28,100
2024-02-29,92
