Kategori: Semua kategori

Hari,bitcoin price: (Seluruh dunia)
2023-03-01,43
2023-03-02,45
2023-03-03,52
2023-03-04,40
2023-03-05,38
2023-03-06,42
2023-03-07,42
2023-03-08,42
2023-03-09,49
2023-03-10,69
2023-03-11,60
2023-03-12,59
2023-03-13,89
2023-03-14,100
2023-03-15,75
2023-03-16,66
2023-03-17,78
2023-03-18,77
2023-03-19,80
2023-03-20,96
2023-03-21,95
2023-03-22,85
2023-03-23,80
2023-03-24,76
2023-03-25,59
2023-03-26,58
2023-03-27,67
2023-03-28,64
2023-03-29,65
2023-03-30,66
2023-03-31,63
2023-04-01,50
2023-04-02,51
2023-04-03,60
2023-04-04,61
2023-04-05,59
2023-04-06,57
2023-04-07,54
2023-04-08,45
2023-04-09,44
2023-04-10,59
2023-04-11,85
2023-04-12,75
2023-04-13,67
2023-04-14,70
2023-04-15,51
2023-04-16,53
2023-04-17,61
2023-04-18,59
2023-04-19,57
2023-04-20,58
2023-04-21,56
2023-04-22,48
2023-04-23,49
2023-04-24,57
2023-04-25,55
2023-04-26,63
2023-04-27,59
2023-04-28,54
2023-04-29,45
2023-04-30,43
2023-05-01,57
2023-05-02,55
2023-05-03,52
2023-05-04,52
2023-05-05,51
2023-05-06,43
2023-05-07,43
2023-05-08,53
2023-05-09,51
2023-05-10,52
2023-05-11,47
2023-05-12,48
2023-05-13,37
2023-05-14,39
2023-05-15,46
2023-05-16,43
2023-05-17,44
2023-05-18,45
2023-05-19,42
2023-05-20,32
2023-05-21,34
2023-05-22,41
2023-05-23,42
2023-05-24,42
2023-05-25,41
2023-05-26,40
2023-05-27,32
2023-05-28,36
2023-05-29,40
2023-05-30,44
2023-05-31,42
