"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1689063251651244032","Tue Aug 08 23:57:15 +0000 2023","0","BREAKING NEWS : Bitcoin NVT Shows Bearish Crossover Price Drop Incoming? - Crypto Press Cryptocurrencies News Network https://t.co/D579xOBE1Z #cryptonews","1689063251651244032","","","en","","0","0","0","https://twitter.com/Tucker_abilit/status/1689063251651244032","1647997312226979842","Tucker_abilit"
"1689063065780654081","Tue Aug 08 23:56:30 +0000 2023","0","Price analysis 8/4: BTC ETH BNB XRP DOGE ADA SOL MATIC LTC DOT https://t.co/mtL2NSic3x Bitcoin continues to range-trade and altcoin traders are starting to view BTC's price consolidation as a positive sign for the rest of the crypto market. Fri 04 Aug 2023 20:17:17 +010","1689063065780654081","","","en","","0","1","0","https://twitter.com/kerbyabandonH/status/1689063065780654081","1648011193729294336","kerbyabandonH"
"1688233826865033221","Tue Aug 08 23:48:57 +0000 2023","0","@backsideflipbob @oudekaas3 its because they hold heavy heavy underwater bags of fake bitcoin at 350$ and are trying to lie to get the price back up. faketoshi already admitted to a judge in court hes a fraud and not satoshi. too bad the world knows https://t.co/XQZ66dp6MU https://t.co/cFjntV05RC","1689061163102035968","https://pbs.twimg.com/media/F3DAGA_boAcM_8U.jpg","OSDMenjoyor","en","texas america","0","0","0","https://twitter.com/anthony49898531/status/1689061163102035968","1679263320795406336","anthony49898531"
"1689060495922278400","Tue Aug 08 23:46:18 +0000 2023","21","#Bitcoin 4H / 12H 4H: - Price reclaim Previous Weeks ML and was able to get into the range. This led price to take a level 2Weeks before Monday High (where liq left with this low volatility) and almost touched red. - 2PMH was a level for profit and I cut some from my longs. I https://t.co/wfZdqn7Zl1","1689060495922278400","https://pbs.twimg.com/media/F3C9PIkWQAAthzJ.png","","en","Why So Serious?","1","1","1","https://twitter.com/BkozCrypto/status/1689060495922278400","1250753183690915840","BkozCrypto"
"1689060329580617728","Tue Aug 08 23:45:38 +0000 2023","0","BITCOIN PREDICTION RESULT Deal Close: 0.168 BTC for $29 769.99 Entry: SELL Entry Price: $29 756.76(60 min ago on Bybit) Amount: $4 999 Trade Profit: $-2.2 Daily : $-15(-0.3%) Monthly: $-64(-1.3%) #Bitcoin #BTC #Bybit https://t.co/17QWrsl5Mt https://t.co/MP5n7sdPLC","1689060329580617728","https://pbs.twimg.com/media/F3C_axgboAcKgEI.png","","en","","0","1","0","https://twitter.com/cryptojohnsmith/status/1689060329580617728","1264448654212919296","cryptojohnsmith"
"1689059317272436737","Tue Aug 08 23:41:37 +0000 2023","0","Sandbox Set For $133 Million Token Unlock A Bearish Trigger For SAND Price? https://t.co/IjuKo1lJt2 #News #crypto #Bitcoin #Metaverse #news #SAND #Sandbox #Tokenrelease #Tokenunlock https://t.co/IjuKo1lJt2","1689059317272436737","","","en","London, England","0","1","0","https://twitter.com/CryptoBreakNews/status/1689059317272436737","981624095610691584","CryptoBreakNews"
"1689059116050763776","Tue Aug 08 23:40:49 +0000 2023","0","Crypto Analyst Says Bitcoin Could Reach $180 000 Next Cycle If This Happens https://t.co/r0BU7bktO8 #Bitcoin #News #crypto #Bitcoin #bitcoinbullmarket #BitcoinHalving #bitcoinprice #BTC #btcusd #BTCUSDT #news https://t.co/r0BU7bktO8","1689059116050763776","","","en","London, England","0","0","0","https://twitter.com/CryptoBreakNews/status/1689059116050763776","981624095610691584","CryptoBreakNews"
"1689022126911520769","Tue Aug 08 23:36:58 +0000 2023","11","@MoonLamboio You do know that every XRP price fluctuation is Ripple dumping and buying back and it is bitcoin that follows XRP as a result right?","1689058150349938688","","MoonLamboio","en","The 80s and 90s","0","2","0","https://twitter.com/HODLmaxi/status/1689058150349938688","1915816358","HODLmaxi"
"1689057353616809984","Tue Aug 08 23:34:49 +0000 2023","0","#Bitcoin $BTC Short term price action started making a new higher high structure which could finally lead to a shift in Hourly trend","1689057607019880448","","AlienOvichO","en","Tunisia","0","2","0","https://twitter.com/AlienOvichO/status/1689057607019880448","51170718","AlienOvichO"
"1689057439063117824","Tue Aug 08 23:34:09 +0000 2023","3","Gonna take a break from trolling and bitcoin for this tweet. Jim Price was an amazing color commentator for @tigers baseball and one I grew up on. Even when I moved to AZ him and Dan always made me feel like I was home. Nice area The Big Man Miguel Cabrera . Rest in peace Jim","1689057439063117824","","","en","America","0","1","1","https://twitter.com/jsamp01/status/1689057439063117824","418467109","jsamp01"
