"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1647386831913119745","Sat Apr 15 23:50:02 +0000 2023","2","$30321.97 | €27613.92 | ¥172521.27 | £24497.95 #bitcoinprice #cryptocurrency #bitcoin","1647386831913119745","","","und","","0","2","0","https://twitter.com/Bitcoin10min/status/1647386831913119745","2296472342","Bitcoin10min"
"1647386830436814848","Sat Apr 15 23:50:02 +0000 2023","0","#MBLUSDT #MBL Signal #1 Last Signal: N/A Before: 0.00341400 After: 0.00341400 (0.00%) Volume Chng: 13 432 USDT (9.80%) Daily Price Chng: (0.00%) Volume: 149 947 USDT PRO ️ https://t.co/1EgdzYf2ot #Crypto #Bitcoin #BTC #ETH","1647386830436814848","","","en","İstanbul","0","0","0","https://twitter.com/whalesradar_com/status/1647386830436814848","101505069","whalesradar_com"
"1647238356991102976","Sat Apr 15 23:47:40 +0000 2023","1","@JoshuaBishopBe1 @10daysofCORE @Coredao_Org u dont knw about crypto stop watch the price for nw. Core is a new blockchain give it time to build. hw long bitcoin an eth take to build","1647386236338700293","","JoshuaBishopBe1","en","Jamaica","0","0","0","https://twitter.com/CryptoZone94/status/1647386236338700293","1560462386770894848","CryptoZone94"
"1647386095230009349","Sat Apr 15 23:47:06 +0000 2023","1","#Bitcoin derivatives data shows bulls positioning for further #BTC price upside https://t.co/89sjcoXlY2 via #mabling","1647386095230009349","","","en","","0","0","0","https://twitter.com/BlockchainDU/status/1647386095230009349","1222389837086576640","BlockchainDU"
"1647383830326661121","Sat Apr 15 23:46:34 +0000 2023","1","Curve mimicking lows of price expansion against time scale. Mind 2024 bitcoin halving period. https://t.co/79Wx8Rj5G8","1647385959162433540","https://pbs.twimg.com/media/FtywyecWcAMLe0G.jpg","danieledwardbux","en","","0","1","0","https://twitter.com/danieledwardbux/status/1647385959162433540","1587168938936471554","danieledwardbux"
"1647385569947799552","Sat Apr 15 23:45:01 +0000 2023","0","#MASKUSDT #MASK Signal #1 Last Signal: N/A Before: 5.84500000 After: 5.67700000 (-2.87%) Volume Chng: 727 070 USDT (5.66%) Daily Price Chng: (-2.87%) Volume: 13 478 228 USDT PRO ️ https://t.co/1EgdzYf2ot #Crypto #Bitcoin #BTC #ETH","1647385569947799552","","","en","İstanbul","0","1","0","https://twitter.com/whalesradar_com/status/1647385569947799552","101505069","whalesradar_com"
"1647385506546589696","Sat Apr 15 23:44:46 +0000 2023","0","#BTC price $30297 Daily Data: -0.56% RSI: 69 Moving Average 20/50/100: 28654/26091/24072 Bollinger Bands: 26571/30737 Weekly: Since Monday: +6.97% RSI: 69 MA 20/50/100: 22427/22303/33495 BB: 13670/31184 #Crypto #Bitcoin #Live (1/13) 509756","1647385506546589696","","","en","Paris","0","2","0","https://twitter.com/LivePriceCrypto/status/1647385506546589696","1501922448324927500","LivePriceCrypto"
"1647382020069244928","Sat Apr 15 23:42:41 +0000 2023","1","@ChrisBlec - How much Bitcoin volume is done solely through centralized exchanges after 15 years? - What volume could we reasonably expect through p2p? - How dependent is BTC on continued fiat inflow to sustain the price? What if exchanges are cut off?","1647384983139684353","","ChrisBlec","en","Multiverse","0","2","0","https://twitter.com/imrane/status/1647384983139684353","22739916","imrane"
"1647384536026677253","Sat Apr 15 23:40:54 +0000 2023","0","- BTC price: $30 403 / £25 404 32.89 Naks per USD 39.36 Naks per GBP A #Nak is a millionth of a #Bitcoin. A #Sat is one hundred millionth. If a Sat is a cent a Nak is a dollar! #Bitcoinprice 16/04/2023 00:40:53 GMT https://t.co/TifT9WUTMK","1647384536026677253","https://pbs.twimg.com/media/E18Ww1SXIAEF0mb.jpg","","en","","0","0","0","https://twitter.com/weeblueghost/status/1647384536026677253","1317380967393353733","weeblueghost"
"1647384314655457284","Sat Apr 15 23:40:02 +0000 2023","1","$30351.17 | €27644.45 | ¥172521.27 | £24519.19 #bitcoinprice #cryptocurrency #bitcoin","1647384314655457284","","","und","","0","5","0","https://twitter.com/Bitcoin10min/status/1647384314655457284","2296472342","Bitcoin10min"
