"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1757916220324803011","Wed Feb 14 23:54:22 +0000 2024","0","GALA resistance of the zones 50.00% 61.80% FIB indicated in orange if it is broken we follow the pattern (ABCD) logically the price can stop a little below the two levels and then start therefore possible closing of the structure at 161.80% FIB #bitcoin https://t.co/dZ1vu7llzh","1757916220324803011","https://pbs.twimg.com/media/GGVfeyWbwAABHhm.jpg","","en","Emirati Arabi Uniti 🇦🇪","0","1","0","https://x.com/crypto16v/status/1757916220324803011","1622515358111260673","crypto16v"
"1757916128687308991","Wed Feb 14 23:54:00 +0000 2024","0","$BTC Miners in Q1 2024 have been selling more #bitcoin than at any other point over the past 3 years and price is still running up https://t.co/arorGpiU8q","1757916128687308991","https://pbs.twimg.com/media/GGVMdnNXoAAqSaT.jpg","","en","USA","0","1","0","https://x.com/KJ_Crypt0/status/1757916128687308991","4058175803","KJ_Crypt0"
"1757916071619862949","Wed Feb 14 23:53:46 +0000 2024","3","Web3 News: Bitcoin Price Surges As Greed Dominates Crypto Market - #BBTF #Web3 #Mprotocol #DeFi https://t.co/4LN999g41d","1757916071619862949","","","en","Pleasant Grove, Utah","0","3","1","https://x.com/TheTokenView/status/1757916071619862949","1638237539369623553","TheTokenView"
"1757916016125125015","Wed Feb 14 23:53:33 +0000 2024","1","$BTC A big chance in a billion! Price: \8444000.0 (2024/02/15 08:52) #Bitcoin #FX #BTC #crypto","1757916016125125015","","","en","","0","2","0","https://x.com/bitoco_in/status/1757916016125125015","1177988321168871424","bitoco_in"
"1757915755432349858","Wed Feb 14 23:52:31 +0000 2024","1","#Bitcoin advice before this bull cycle. No one buys at the bottom. If price-go-up gets you interested learn and then learn some more. Start accumulating on a repeatable schedule and stay the course. ","1757915755432349858","","","en","","0","1","0","https://x.com/marioperricone_/status/1757915755432349858","2421382661","marioperricone_"
"1757915752437616972","Wed Feb 14 23:52:30 +0000 2024","0","JUST IN: MASSIVE VOLUME FOR BLACKROCK'S #BITCOIN ETF A volume of over 24 million shares on the day equating to over $700 million in price volume There is an insatiable demand for #Bitcoin on Wall Street https://t.co/1CfH60fXzP","1757915752437616972","https://pbs.twimg.com/media/GGVfDV5aAAEPyc0.jpg","","en","Hanoi, Vietnam","0","1","0","https://x.com/BITCOINER_ONLY/status/1757915752437616972","1727801786247843841","BITCOINER_ONLY"
"1757915579443466644","Wed Feb 14 23:51:49 +0000 2024","2","So many people excited about the bitcoin price have forgotten about the Canadian trucker protest! Sad reality! If they had donated pirate chain instead of bitcoin they could have avoided persecution! That s the true power and capability of pirate chain!","1757915579443466644","","","en","","0","2","0","https://x.com/ThomasKresge7/status/1757915579443466644","1427057737272279051","ThomasKresge7"
"1757673992821817530","Wed Feb 14 23:51:32 +0000 2024","1","@SoldNever @MyDogeTip Imagine they capped the supply or reduced the inflation rate to less than half a percent. Then Dogecoin could moon to the price of Bitcoin eventually ","1757915507293118877","","SoldNever","en","Moonbase 69","0","2","0","https://x.com/doge369420/status/1757915507293118877","1426770866684059652","doge369420"
"1757776935520776492","Wed Feb 14 23:51:20 +0000 2024","0","@HeroDividend You get Bitcoin at the price you deserve","1757915458475577687","","HeroDividend","en","","0","1","0","https://x.com/timothyjdavis/status/1757915458475577687","1631529702740615169","timothyjdavis"
"1757915192439279816","Wed Feb 14 23:50:17 +0000 2024","3","sometimes i wonder what price we reach when we never again see another bitcoin is dead article. Prob might happen this cycle maybe","1757915192439279816","","","en","Miami","0","5","0","https://x.com/HodlTarzan/status/1757915192439279816","1602037147917230080","HodlTarzan"
"1757915159165833304","Wed Feb 14 23:50:09 +0000 2024","0","Bitcoin Surpasses $52 000 Crosses $1 Trillion Market Cap What s Driving The Surge? https://t.co/RqcWzNj0xE #BitcoinNews #BitcoinPrice #BTCmarketcap #USBitcoinSpotETF","1757915159165833304","","","en","","0","3","1","https://x.com/DeFiBloke/status/1757915159165833304","1512640654710476801","DeFiBloke"
"1757813833941307472","Wed Feb 14 23:49:15 +0000 2024","1","@rajatsonifnance I will buy at all and any price and do so everyday. There are so many of us doing the same Can only hope they try such a play As you say it will be a catastrophic mistake for them","1757914933248082125","","rajatsonifnance","en","Australia","0","1","0","https://x.com/BitcoinMaxiHodl/status/1757914933248082125","1137960615299805190","BitcoinMaxiHodl"
"1757914347479990459","Wed Feb 14 23:46:55 +0000 2024","1","#BTC is now at $51869.005 | via https://t.co/MXDe0iLo4x","1757914347479990459","","","en","","0","2","0","https://x.com/getbitcoinprice/status/1757914347479990459","1346158602004930560","getbitcoinprice"
"1757914307722133682","Wed Feb 14 23:46:46 +0000 2024","1","Palette https://t.co/uFVOuwfRQ9 Price Marketcap Vote #PALETTE #ethereum #eth #btc #bitcoin #exchange #metaverse #binance #coinbase #stex #EthereumTowers #uma #umacoin #defi #trading #unbanked #cryptocurrencies #crypto #blockchain #whale #GetProfit https://t.co/nGxmvU6QY8","1757914307722133682","https://pbs.twimg.com/media/GGVdvycbwAACZ8N.jpg","","fr","Moon","0","4","0","https://x.com/Altcoinvote_com/status/1757914307722133682","1711168751939276800","Altcoinvote_com"
"1757914283244237200","Wed Feb 14 23:46:40 +0000 2024","1","佩龙 - The Autistic Chinese Dragon https://t.co/92QUnVzD5F Price Marketcap Vote #佩龙 #ethereum #eth #btc #bitcoin #exchange #metaverse #binance #coinbase #stex #EthereumTowers #uma #umacoin #defi #trading #unbanked #cryptocurrencies #crypto #blockchain #whale #GetProfit https://t.co/lZp5AI6XL8","1757914283244237200","https://pbs.twimg.com/media/GGVduXVagAAZpOu.jpg","","en","Moon","0","3","0","https://x.com/Altcoinvote_com/status/1757914283244237200","1711168751939276800","Altcoinvote_com"
"1757914264239854049","Wed Feb 14 23:46:35 +0000 2024","1","Ether404 https://t.co/ol1uq6nvhO Price Marketcap Vote #ETHER #ethereum #eth #btc #bitcoin #exchange #metaverse #binance #coinbase #stex #EthereumTowers #uma #umacoin #defi #trading #unbanked #cryptocurrencies #crypto #blockchain #whale #GetProfit https://t.co/Ha12sHnIsQ","1757914264239854049","https://pbs.twimg.com/media/GGVdtOQbAAAVYe6.jpg","","fr","Moon","0","4","0","https://x.com/Altcoinvote_com/status/1757914264239854049","1711168751939276800","Altcoinvote_com"
